"taxon","KCl (500mM)","KCl (1000mM)","KCl (1500mM)","NaCl (250mM)","NaCl (500mM)","NaCl (1000mM)","4°C","16°C","30°C","40°C","Ethanol (5% v/v)","Ethanol 7% v/v","Ethanol 9% v/v","Ethanol 10% v/v","Ethanol 11% v/v","Ethanol 12% v/v","Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)","Glucose (46%)","Sorbitol (46%)","Glucose (48%)","Sorbitol (48%)","Glucose (50%)","Sorbitol (50%)","Copper (0.075mM)","Cadmium (0.3mM)","Cadmium (0.4mM)","Cadmium (0.5mM)","Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)","Acetic acid (50mM)","Acetic acid (75mM)","Acetic acid (100mM)","Levulinic acid (25mM)","Levulinic acid (50mM)","Levulinic acid (75mM)","Formic acid (25mM)","Formic acid (50mM)","Formic acid (75mM)","Glycerol (20°C)","Melibiose (20°C)","Sorbitol (20°C)","Ethanol (20°C)","Galactose (20°C)","Fructose (20°C)","Sucrose (20°C)","Maltose (20°C)","Maltose (liquid)","Maltotriose (liquid)","Glucose (10°C)","Ethanol (10°C)","Fructose (10°C)","Sucrose (10°C)","Maltose (10°C)","Glucose (39°C)","Ethanol (39°C)","Fructose (39°C)","Sucrose (39°C)","Maltose (39°C)","Lysine","Ethyl propionate","Ethyl butyrate","Ethyl hexanoate","Ethyl octanoate","Ethyl decanoate","Propyl acetate","Isobutyl acetate","Ethyl acetate","Isoamyl acetate","Phenyl ethyl acetate","Phenyl ethanol","Butanol","Isoamyl alcohol","Isobutanol","POF","Acetaldehyde","Flocculation","Ethanol production (%v/v)","Sporulation efficiency","Spore viability"
"BE001",1.827,1.422,0.026,-0.639,-0.62,-0.363,-0.466,1.641,2.235,-1.022,1.824,1.709,-0.936,-0.669,-0.91,-0.792,0.26,-0.348,-0.441,-0.824,-0.624,-0.61,-0.558,-0.443,-0.451,-0.045,0.167,0.048,-0.302,-0.645,-0.382,-0.341,-0.309,-0.395,-0.875,0.234,0.246,-0.836,-1.943,-1.501,-0.632,-0.949,-0.761,-0.826,1.685,0.743,1.465,0.745,1.55,0.322,0.431,-1.084,-0.628,-0.015,-0.37,-0.874,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,2.252,-1.293,-0.566,-0.967,0.091,-0.929,0.668,0.685,0.378,-1.085,-0.529,-0.45,1.13,0.883,-0.922,-0.335,-0.584,-2.156,-1.223,-0.819
"BE002",-0.569,-0.286,-0.326,0.382,0.845,0.175,-0.466,0.524,0.047,-0.927,1.335,1.241,0.41,0.517,0.435,0.681,1.335,1.638,0.38,0.135,0.849,-0.418,-0.264,-0.443,-0.451,-0.593,0.729,-0.051,-0.6,-0.528,-0.382,-0.341,-0.642,-0.439,-0.875,-0.148,-0.235,-0.635,-0.335,-0.82,-0.632,0.235,1.735,0.352,0.287,-0.334,0.903,-0.883,1.36,0.117,0.173,1.191,-1.007,0.778,-1.35,-0.488,-1.158,-0.539,-1.051,-1.18,-0.582,0.191,0.176,-1.293,1.025,0.264,1.998,1.286,0.01,1.413,0.741,0.963,-0.035,-1.273,-0.124,-0.458,-0.922,-0.61,-0.584,-1.792,0.738,-0.655
"BE003",-0.818,-0.457,-0.271,0.455,-0.033,-0.363,-0.466,0.485,0.19,-0.755,0.939,-0.135,-0.352,-0.437,-0.833,-0.792,-0.24,-0.717,-0.441,-0.345,0.151,-0.162,0.03,-0.24,0.03,-1.058,-0.677,-0.794,-0.66,-0.345,2.087,-0.039,0.614,0.183,-0.875,-2.182,-1.551,-0.836,-0.211,-0.95,-0.632,-0.135,0.367,-0.163,-0.041,-3.005,-0.124,-0.691,-0.45,-1.232,0.395,-0.479,-0.032,-0.922,-0.963,-0.139,-0.799,-0.244,-0.827,-0.785,-0.564,0.191,-1.286,-1.293,-0.261,0.561,0.935,-0.929,-0.277,-0.836,0.36,1.456,0.956,-1.82,-0.063,-0.235,1.078,-0.49,-0.584,-1.85,-1.223,-0.819
"BE004",-0.211,-0.056,0.014,1.788,1.836,0.247,-0.466,0.12,-0.031,1.485,1.203,1.898,2.211,1.646,0.541,0.253,1.535,0.23,-0.441,-0.681,-0.314,-0.546,-0.411,-0.443,-0.451,1.624,0.006,-0.596,-0.72,-0.512,-0.382,-0.341,1.611,2.187,2.699,1.112,1.128,1.355,1.089,1.375,0.977,0.574,0.094,0.399,0.609,0.597,0.908,1.16,1.19,0.073,-1.478,0.547,0.938,2.897,1.629,-0.585,1.374,1.945,0.902,0.944,1.498,0.191,0.6,0.158,-0.158,-0.449,0.942,-0.929,-0.776,-0.455,-0.596,-0.334,-0.089,-1.394,0.22,-0.25,1.078,-0.401,-0.584,0.216,0.582,-0.819
"BE005",0.953,0.933,0.581,-0.107,-0.62,-0.363,-0.466,0.063,1.054,1.317,0.158,0.651,0.401,-0.314,-0.482,-0.64,0.056,-0.687,-0.441,0.567,0.616,-0.29,-0.117,-0.341,-0.451,1.296,-1.44,-1.091,-0.78,1.906,2.019,1.901,0.552,0.498,0.561,0.796,0.86,1.688,0.433,0.458,-0.632,0.115,-0.246,0.03,0.412,0.068,0.681,-0.211,1.49,-0.613,-1.478,-0.43,0.827,0.443,0.475,1.864,1.169,0.321,0.743,0.944,1.479,0.191,-0.93,-1.293,0.165,-0.898,1.497,-0.929,-0.493,-0.352,-0.53,-0.525,-0.616,-1.101,-0.477,-0.322,-0.922,-0.177,-0.584,0.321,0.893,0.336
"BE006",0.231,0.123,0.515,-0.571,-0.62,-0.363,-0.466,-0.025,-0.539,0.578,0.213,0.133,-0.001,-0.138,-0.099,-0.563,0.742,0.249,-0.441,0.231,0.616,0.222,0.323,-0.138,0.03,1.679,-0.677,-0.745,-0.72,2.648,2.655,2.136,0.515,1.205,0.875,0.462,0.13,0.755,0.485,0.503,-0.632,0.61,-0.096,0.386,-0.095,0.242,0.167,0.015,0.16,0.05,0.948,-0.822,0.599,0.011,0.251,1.263,-0.271,1.481,0.479,0.776,1.009,0.191,-0.542,-1.293,0.997,0.815,4.831,1.012,1.062,0.956,0.745,0.311,-0.122,-0.984,0.282,0.28,1.078,-0.255,-0.584,0.544,0.613,1.479
"BE007",-0.719,-0.714,-1.146,-0.641,-0.62,-0.363,-0.466,-0.722,-0.008,-1.022,-1.134,-1.561,-1.081,-0.943,-0.91,-0.792,-1.109,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,-1.52,-0.398,-0.78,-0.645,-0.382,-0.341,1.611,-1.069,-0.875,-0.857,-1.551,-0.836,1.089,0.834,2.143,-1.649,-1.517,-1.471,-0.293,-0.116,-0.052,-0.996,-0.14,0.758,1.017,-1.084,-1.007,-0.689,-1.01,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,0.36,-1.293,-0.521,0.255,-0.029,-0.929,-1.234,-1.076,-1.281,-1.085,-0.46,-0.958,-0.814,0.002,-0.922,-0.618,-0.584,-1.029,-1.223,-0.819
"BE008",0.232,0.377,-0.519,-0.727,-0.62,-0.363,-0.466,0.948,0.548,-0.984,0.287,0.156,-1.081,-0.943,-0.91,-0.792,-1.294,-0.717,-0.441,-0.728,-0.624,-0.61,-0.558,-0.443,-0.451,0.256,-0.275,-0.992,-0.78,-0.645,-0.382,-0.341,1.063,0.067,-0.875,-0.684,-1.551,-0.836,-1.094,0.225,-0.632,-1.209,-1.159,-1.111,-0.607,0.151,-0.533,-0.256,0.77,0.859,0.632,-0.779,0.231,-0.837,-0.699,-0.321,-1.062,-0.539,-0.843,-1.04,-0.743,0.191,-0.338,-1.293,-0.833,-0.125,0.492,-0.929,0.42,0.034,0.302,0.379,0.341,-1.183,0.775,0.271,-0.922,-0.022,0.039,-1.052,0.177,-0.819
"BE009",0.514,0.571,-1.51,-0.885,-0.62,-0.363,-0.466,-0.465,0.373,-0.89,-0.371,0.436,-0.918,-0.943,-0.91,-0.792,0.518,-0.076,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-0.921,-1.561,-0.844,-0.481,-0.645,-0.382,-0.341,0.345,0.915,-0.875,0.312,0.535,0.824,0.983,-0.113,-0.632,0.139,0.729,0.173,0.017,0.122,0.037,0.033,0.5,0.859,1.017,-0.684,0.728,-0.585,0.062,0.421,0.997,-0.539,0.399,0.688,-0.91,0.191,-1.293,-1.293,-1.161,-1.581,-0.319,-0.929,-1.217,-1.703,-1.199,-1.085,-1.004,-2.165,-1.025,-0.295,-0.922,-0.367,1.285,-0.665,0.084,-0.819
"BE010",1.769,1.403,0.928,-0.609,-0.62,-0.363,-0.466,0.18,1.638,1.038,-0.011,0.851,-0.473,-0.943,-0.91,-0.792,0.226,-0.717,-0.441,-0.681,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,-1.48,-0.794,-0.78,-0.645,-0.382,-0.341,0.064,-1.19,-0.875,0.384,0.284,-0.836,-0.22,-0.81,-0.632,0.576,0.73,0.588,0.368,0.954,-0.161,-0.589,0.92,0.188,0.718,-1.084,-0.791,-0.485,-0.536,-0.033,1.654,-0.539,0.324,0.296,-1.105,0.191,0.664,-1.293,-0.968,-1.367,-0.153,-0.929,0.89,-0.028,0.434,-0.354,-0.316,-0.99,0.587,0.591,-0.922,-0.271,0.662,-1.369,0.053,-0.162
"BE011",-0.134,0.202,0.05,1.558,1.077,2.791,0.874,0.6,-0.044,0.43,0.596,0.791,1.233,0.782,0.419,0.093,0.997,-0.717,-0.441,-0.728,-0.469,-0.546,-0.558,-0.443,-0.451,-1.058,-0.596,-1.042,-0.78,-0.553,-0.382,-0.341,-0.685,0.062,0.333,-0.117,-0.102,-0.836,-0.221,-0.135,-0.632,0.159,0.144,0.227,1.211,-0.556,0.495,0.068,0.73,-1.159,-1.478,0.195,1.759,1.326,0.628,-0.377,1.14,-0.539,0.902,0.944,-0.19,0.191,-0.201,-1.293,0.636,3.22,-0.29,0.643,0.125,0.512,1.02,0.434,0.516,-0.719,0.969,-0.069,-0.922,-0.294,-0.584,0.685,0.302,0.599
"BE012",1.827,1.338,0.787,-0.449,-0.62,-0.363,-0.466,1.899,1.419,-1.022,1.344,1.714,-0.902,-0.943,-0.91,-0.792,-1.198,-0.717,-0.441,-0.728,-0.779,-0.61,-0.558,-0.24,-0.451,-1.058,-0.074,1.187,1.073,-0.645,-0.382,-0.341,-0.688,-0.372,-0.824,-1.89,-1.381,-0.836,-0.744,-0.332,-0.352,-1.649,-1.517,-1.471,-0.394,-1.439,-1.212,-0.508,0.16,0.483,0.809,0.693,0.341,-0.631,-0.669,-0.365,-0.952,-0.539,-1.081,-1.384,-1.105,0.191,0.845,-1.293,-0.935,-0.534,1.675,-0.929,-0.239,0.069,-0.273,-0.069,0.23,0.498,0.182,-0.043,-0.922,0.165,-0.584,-0.794,-0.663,-0.162
"BE013",0.005,0.195,0.632,1.834,1.533,1.61,2.236,1.156,0.259,-0.436,0.627,0.791,1.198,1.176,1.199,1.069,0.518,-0.717,-0.441,-0.009,0.229,-0.418,-0.117,-0.443,-0.211,-0.866,0.93,0.246,0.416,-0.645,-0.382,-0.341,0.529,1.768,0.8,0.694,0.382,0.241,1.089,0.466,0.076,0.199,0.145,0.304,0.354,0.37,0.133,0.15,1.12,0.685,0.775,0.846,2.149,1.199,1.428,1.535,-0.1,0.174,-0.138,0.245,1.063,0.191,0.034,-1.293,1.395,2.224,-0.258,-0.929,-0.61,0.034,-0.3,-0.435,-0.523,0.388,0.307,-0.016,1.078,-0.175,0.039,0.896,-0.445,1.807
"BE014",1.398,1.432,1.421,-0.269,-0.62,-0.363,-0.466,2.079,1.299,0.109,0.33,0.735,0.736,0.189,-0.123,-0.625,1.055,0.378,-0.441,-0.633,0.151,-0.61,-0.558,-0.443,-0.451,0.037,-0.476,-0.943,-0.78,2.023,1.48,2.34,0.87,2.187,1.667,1.323,1.394,0.605,1.089,0.546,0.676,0.205,0.1,0.084,-0.136,0.706,-0.3,-0.767,0.41,0.404,0.434,0.866,1.04,0.371,0.253,1.09,1.327,1.512,0.711,0.795,1.219,0.191,0.155,-1.293,1.925,2.442,7.987,1.503,1.37,1.726,1.89,0.794,0.416,1.255,2.002,0.627,1.078,-0.085,-0.584,0.18,0.956,1.479
"BE015",0.022,-0.162,-1.51,-0.649,-0.62,-0.363,-0.466,0.875,1.084,-0.803,0.079,-0.262,-0.927,-0.883,-0.91,-0.792,-0.087,-0.622,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,-0.034,-0.15,-0.003,-0.384,-0.382,-0.341,-1.609,-1.198,-0.875,-0.615,-1.227,-0.836,-0.063,-0.789,-0.632,0.136,-0.467,-0.629,0.003,-0.477,-0.237,-0.716,-0.24,0.424,1.017,-0.589,-1.007,-0.881,-1.39,-1.068,0.458,-0.539,-0.379,-0.048,-1.105,0.191,0.289,-0.552,-1.279,-1.592,-0.009,-0.929,-1.775,-1.012,-1.509,-1.085,-0.409,0.325,-1.491,-0.556,-0.922,0.36,-0.584,-2.226,0.209,-0.819
"BE016",-0.439,-1.772,-1.51,-0.648,-0.62,-0.363,-0.466,0.351,0.341,-1.022,0.024,-0.211,-1.081,-0.943,-0.91,-0.792,-1.33,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,1.131,1.633,1.372,-0.645,-0.382,-0.341,-1.404,-0.635,-0.875,-1.186,-1.336,-0.836,0.016,-0.674,-0.632,0.645,-0.126,1.012,-0.062,0.954,-0.34,-0.45,-0.28,-0.127,0.398,0.653,-1.007,-1.469,-1.161,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,4.221,0.073,-0.343,-1.22,-0.283,-0.929,-1.345,-0.116,-1.31,-1.085,-0.431,0.787,-0.934,-0.63,-0.922,0.731,-0.584,-0.63,0.8,-0.819
"BE017",-0.973,-1.842,-1.51,-0.719,-0.62,-0.363,-0.466,0.409,-0.95,-1.022,-0.852,-1.973,-1.081,-0.943,-0.91,-0.792,-1.33,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-0.018,-0.476,-1.091,-0.78,-0.645,-0.382,-0.341,-1.392,-0.216,-0.875,-0.294,-1.441,-0.697,-1.325,-1.089,-0.332,-1.322,-1.187,-1.471,-1.954,-1.883,-1.365,1.629,-0.65,0.859,0.916,-1.084,-1.007,-1.469,-1.752,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,-0.483,-0.64,-0.716,-1.672,-0.15,-0.929,-0.586,-0.344,-0.854,-0.334,-0.326,0.346,-1.386,-0.563,-0.922,4.819,0.039,-0.747,-1.223,-0.819
"BE018",1.186,2.289,1.742,3.978,5.468,2.331,-0.466,0.595,1.031,-1.022,0.358,0.88,0.775,0.894,0.947,0.324,-1.33,-0.717,-0.441,1.718,3.174,1.053,2.379,0.37,1.713,0.529,-1.44,-1.091,-0.78,-0.645,-0.382,-0.341,0.724,2.036,3.074,1.357,1.969,0.095,0.573,-0.077,0.577,0.789,-0.605,1.097,-0.466,-3.114,0.266,-1.861,-1.42,-3.688,-1.478,-0.018,-1.007,-1.199,-1.752,-1.068,-1.259,-0.539,-1.569,-1.448,-1.105,-4.007,-1.266,-0.316,0.518,-0.66,-0.172,-0.929,-0.276,-1.448,-1.168,-0.375,0.505,-0.291,-1.191,0.906,1.078,-0.124,2.531,-0.735,-1.223,-0.819
"BE019",1.503,0.89,-1.51,-0.885,-0.62,-0.363,-0.466,-1.062,0.671,-1.022,-0.188,-1.552,-1.081,-0.943,-0.91,-0.792,-1.33,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,0.31,-1.561,-1.091,-0.78,-0.645,-0.382,-0.341,-1.181,-0.705,-0.875,0.158,-0.726,-0.836,-0.921,-0.03,-0.632,-0.992,-0.395,-0.156,-0.864,0.62,0.875,-0.273,2.45,NaN,NaN,-1.084,-1.007,-0.209,-1.742,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,-1.005,0.294,-0.276,-0.558,-0.147,-0.929,0.953,-0.035,-1.179,-1.085,-1.145,1.184,-1.211,1.519,-0.922,9.027,0.039,-2.543,-0.943,-0.819
"BE020",0.095,0.601,0.564,1.22,1.352,2.721,0.126,0.458,-0.053,0.771,1.105,0.998,0.774,0.733,0.298,0.225,0.813,-0.268,-0.441,1.478,1.004,0.861,1.939,0.167,0.751,-0.073,0.97,0.741,0.356,0.036,-0.382,-0.341,1.102,1.313,1.601,1.138,0.203,0.641,1.089,1.039,0.321,0.27,0.232,0.241,0.567,0.06,0.781,-0.175,4.05,0.161,-1.478,0.491,-0.119,1.47,1.641,-1.068,0.33,-0.539,0.902,0.864,0.977,0.191,-0.904,-0.495,-0.817,-0.551,0.634,-0.929,-1.139,-1.134,-1.244,-0.312,3.021,1.709,0.696,0.491,1.078,1.252,-0.584,0.439,1.267,0.986
"BE021",0.419,0.873,0.418,1.477,1.364,0.307,-0.466,0.683,0.05,0.75,0.596,0.659,1.177,1.392,1.423,0.933,1.176,0.774,-0.441,0.95,1.236,0.286,1.351,0.065,0.511,0.201,1.051,0.642,0.416,-0.191,-0.382,-0.341,1.582,1.487,1.656,1.01,0.89,1.111,1.089,1.375,2.805,0.347,0.738,0.524,-0.46,0.186,-0.598,-0.659,-0.27,0.517,1.017,0.85,-0.08,0.431,0.41,-1.068,1.099,-0.539,0.902,0.944,-0.518,0.191,-0.888,0.87,2.703,2.733,-0.246,-0.929,-0.126,-0.111,0.176,-0.091,-0.101,0.44,-0.328,-0.251,1.078,0.529,-0.584,1.131,-0.601,0.822
"BE022",1.827,1.592,0.687,-0.628,-0.62,-0.363,2.816,1.32,1.495,-0.953,0.405,0.187,-0.941,-0.943,-0.91,-0.792,-1.33,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,0.31,0.649,0.543,0.894,-0.645,-0.382,-0.341,0.157,0.532,-0.875,0.035,0.397,-0.794,0.893,1.375,-0.632,0.368,-0.355,0.497,0.536,0.719,-0.571,-0.819,0.66,-0.846,-0.333,1.032,0.184,-0.932,-0.644,-0.273,0.357,-0.539,0.065,0.237,-0.209,0.191,0.705,-0.124,-0.225,-0.33,-0.269,-0.929,-0.874,0.017,-0.844,-0.44,-0.879,-0.805,-1.424,-0.741,1.078,-0.298,-0.584,0.357,0.022,-0.819
"BE023",0.345,0.718,0.581,-0.749,-0.62,-0.363,-0.466,0.905,0.352,1.258,0.206,0.328,-0.225,-0.579,-0.449,-0.792,-0.031,0.208,-0.405,-0.345,-0.082,-0.546,-0.264,-0.036,-0.451,0.502,0.85,1.435,0.894,1.118,0.077,0.074,0.757,1.038,1.292,0.434,0.614,1.394,1.044,1.375,1.725,-0.035,-0.739,-0.16,-1.097,0.646,-0.485,-0.521,-0.14,0.654,1.017,-0.155,-0.399,0.02,0.578,1.502,1.375,0.426,0.902,0.944,1.498,0.191,-0.907,-1.293,5.42,-0.364,-0.152,0.326,0.066,0.408,-0.162,-0.176,-0.727,-0.132,-1.008,-0.328,1.078,0.099,-0.584,0.31,0.987,0.494
"BE024",-0.33,-0.003,0.754,0.284,0.241,0.049,-0.466,0.538,-0.104,0.755,1.568,1.81,1.505,1.197,1.559,0.815,1.799,2.262,2.257,0.471,0.229,-0.226,0.176,-0.036,-0.451,1.679,0.529,-0.051,-0.062,1.057,0.399,1.179,0.137,0.609,0.711,0.388,0.237,0.359,0.46,0.747,0.349,-0.521,-0.63,-0.508,-0.23,-1.357,-0.411,-0.415,-0.38,0.859,-1.478,0.968,1.61,0.491,0.311,1.19,0.335,-0.232,0.126,0.389,0.624,0.191,-1.349,-0.098,-0.051,-1.013,-0.287,-0.929,-1.057,-1.231,-0.567,-0.641,-0.544,-0.296,-0.46,-0.513,-0.922,0.174,-0.584,0.615,0.956,1.643
"BE025",0.061,0.307,0.786,0.11,-0.62,-0.363,-0.466,0.499,-0.263,-0.065,1.264,1.126,0.962,0.934,0.623,0.223,0.228,0.212,-0.441,-0.201,-0.624,-0.61,-0.558,-0.443,-0.451,0.858,0.006,-0.051,-0.122,0.065,-0.382,-0.341,0.253,0.489,-0.048,0.382,0.651,0.985,0.716,0.96,-0.632,-0.203,-0.301,-0.115,-0.832,0.554,-1.541,-1.569,-0.7,0.645,0.995,-0.44,-0.229,-0.657,-0.504,0.005,0.62,2.504,0.504,-0.291,0.854,0.191,-1.013,-0.156,0.893,-1.414,-0.299,-0.929,0.032,-0.338,-0.361,-0.132,-0.024,0.401,-0.752,-0.383,1.078,3.244,-0.584,0.732,1.267,0.33
"BE026",1.827,1.495,0.104,-0.645,-0.62,-0.363,2.843,2.174,2.836,-1.022,-0.049,-0.433,-0.986,-0.943,-0.91,-0.792,-1.33,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,0.127,0.345,0.416,-0.645,-0.382,-0.341,0.993,0.623,-0.875,0.118,0.619,-0.836,1.089,1.375,2.046,0.54,0.33,0.168,-0.668,0.954,-0.284,-0.384,0.29,-0.212,0.86,0.755,0.175,-0.571,0.383,1.223,1.063,-0.539,0.214,-0.045,0.333,0.191,0.908,-0.023,0.168,-0.463,-0.029,-0.929,-0.845,-0.041,-0.87,-0.331,-0.17,0.386,-1.218,-0.632,1.078,0.812,-0.584,0.709,0.271,-0.491
"BE027",-0.236,0.143,0.131,1.176,1.602,1.127,1.378,0.502,0.263,0.85,0.55,0.576,0.912,0.476,0.38,-0.262,1.659,1.798,1.27,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.003,-0.114,-0.546,-0.66,-0.645,-0.382,-0.341,1.489,1.759,1.526,1.357,2.119,1.658,1.089,1.375,0.812,0.788,0.505,0.709,-0.596,0.666,-0.325,-0.442,-0.88,-0.477,-1.478,1.233,1.322,0.88,0.368,0.15,1.431,1.138,0.902,0.944,1.498,-4.007,-0.875,-1.293,-0.06,1.925,-0.127,-0.929,0.502,0.508,0.2,-0.346,-0.585,0.654,0.389,0.368,1.078,0.857,-0.584,0.873,0.022,-0.491
"BE028",1.678,1.142,1.298,-0.275,-0.62,-0.363,0.277,1.874,1.361,0.482,0.776,0.906,0.6,0.166,-0.22,-0.792,0.307,0.591,-0.441,-0.201,0.229,-0.482,-0.264,-0.443,-0.451,1.159,-0.516,-0.695,-0.78,4.274,4.488,4.177,1.205,1.654,2.072,1.181,1.227,1.579,0.715,1.141,2.266,-0.269,-0.634,-0.173,-0.226,0.266,-0.296,-0.105,-0.13,-0.023,0.772,1.394,1.215,0.405,0.459,1.259,1.331,2.198,0.902,0.944,1.498,0.191,-1.005,-1.293,1.273,0.316,-0.296,-0.929,-0.287,-0.291,-0.652,-0.393,-0.287,0.604,-0.25,0.198,1.078,1.436,-0.584,0.415,0.987,1.315
